"Slug","Title","Parent Department","Parent Hub","Content"
"finance-data","Finance & Data","central-functions","finance-hub","<p><br><br><br></p>"
"control","Control","central-functions","finance-hub","<p><br><br><br></p>"
"data-bi","Data & BI","central-functions","finance-hub","<p><br><br><br></p>"
"fpa","FP&A","central-functions","finance-hub","<p><br><br><br></p>"
"legal-infosec","Legal & InfoSec","central-functions","legal-infosec-hub","<p><br><br><br></p>"
"infosec","InfoSec","central-functions","legal-infosec-hub","<p><br><br><br></p>"
"legal-risk-compliance","Legal, Risk & Compliance","central-functions","legal-infosec-hub","<p><br><br><br></p>"
"operations","Operations","central-functions","legal-infosec-hub","<p><br><br><br></p>"
"people","People","central-functions","people-hub","<p><br><br><br></p>"
"internal-communications","Internal Communications","central-functions","people-hub","<p><br><br><br></p>"
"office-and-it","Office and IT","central-functions","people-hub","<p><br><br><br></p>"
"talent","Talent","central-functions","talent-hub","<p><br><br><br></p>"
"ceo","CEO","central-functions","","<p><br><br><br></p>"
"executive-leadership-hiring","Executive and Leadership Hiring","central-functions","","<p><br><br><br></p>"
"customer-and-consulting","Customer and Consulting","revenue","client-services-hub","<p><br><br><br></p>"
"customer-delivery","Customer Delivery","revenue","client-services-hub","<p><br><br><br></p>"
"customer-project-management-managers","Customer Project Management/Managers","revenue","client-services-hub","<p><br><br><br></p>"
"customer-success","Customer Success","revenue","customer-success-hub","<p><br><br><br></p>"
"customer-support","Customer Support","revenue","client-services-hub","<p><br><br><br></p>"
"learning","Learning","revenue","client-services-hub","<p><br><br><br></p>"
"pricing-innovation","Pricing & Innovation","revenue","pricing-innovation-hub","<p><br><br><br></p>"
"actuarial","Actuarial","revenue","pricing-innovation-hub","<p><br><br><br></p>"
"value-consulting","Value Consulting","revenue","pricing-innovation-hub","<p><br><br><br></p>"
"field-engineering","Field Engineering","revenue","field-engineering-hub","<p><br><br><br></p>"
"ecosystems","Ecosystems","revenue","field-engineering-hub","<p><br><br><br></p>"
"solutions-architecture","Solutions Architecture","revenue","field-engineering-hub","<p><br><br><br></p>"
"solutions-engineering","Solutions Engineering","revenue","field-engineering-hub","<p><br><br><br></p>"
"marketing","Marketing","revenue","marketing-gtm-engineering-hub","<p><br><br><br></p>"
"abfm","ABFM","revenue","marketing-gtm-engineering-hub","<p><br><br><br></p>"
"corporate-marketing","Corporate Marketing","revenue","marketing-gtm-engineering-hub","<p><br><br><br></p>"
"marketing-operations","Marketing Operations","revenue","marketing-gtm-engineering-hub","<p><br><br><br></p>"
"product-marketing","Product Marketing","revenue","marketing-gtm-engineering-hub","<p><br><br><br></p>"
"sdr","SDR","revenue","marketing-gtm-engineering-hub","<p><br><br><br></p>"
"sales","Sales","revenue","sales-partnerships-hub","<p><br><br><br></p>"
"account-executives-international","Account Executives - International","revenue","sales-partnerships-hub","<p><br><br><br></p>"
"account-executives-north-america","Account Executives - North America","revenue","sales-partnerships-hub","<p><br><br><br></p>"
"account-executives-strategic-accounts","Account Executives - Strategic Accounts","revenue","sales-partnerships-hub","<p><br><br><br></p>"
"partnerships","Partnerships","revenue","sales-partnerships-hub","<p><br><br><br></p>"
"engineering","Engineering","technology","engineering-hub","<p><br><br><br></p>"
"ai-products-abd-team","AI Products (ABD Team)","technology","ai-hub","<p><br><br><br></p>"
"delivery","Delivery","technology","engineering-hub","<p><br><br><br></p>"
"development","Development","technology","engineering-hub","<p><br><br><br></p>"
"analytics","Analytics","technology","engineering-hub","<p><br><br><br></p>"
"customer-engineering","Customer Engineering","technology","engineering-hub","<p><br><br><br></p>"
"kernel","Kernel","technology","engineering-hub","<p><br><br><br></p>"
"models","Models","technology","engineering-hub","<p><br><br><br></p>"
"policies","Policies","technology","engineering-hub","<p><br><br><br></p>"
"shared-architecture","Shared Architecture","technology","engineering-hub","<p><br><br><br></p>"
"engineering-management","Engineering Management","technology","engineering-hub","<p><br><br><br></p>"
"engineering-velocity","Engineering Velocity","technology","engineering-hub","<p><br><br><br></p>"
"platform","Platform","technology","engineering-hub","<p><br><br><br></p>"
"quality","Quality","technology","engineering-hub","<p><br><br><br></p>"
"security","Security","technology","engineering-hub","<p><br><br><br></p>"
"staff-engineering","Staff Engineering","technology","engineering-hub","<p><br><br><br></p>"
"product","Product","technology","product-hub","<p><br><br><br></p>"
"product-design","Product Design","technology","product-hub","<p><br><br><br></p>"
"product-management","Product Management","technology","product-hub","<p><br><br><br></p>"
"product-ops","Product Ops","technology","product-hub","<p><br><br><br></p>"
